i  j  originxmin  originymin  x  y  z
0	0	0.0002	0.0006	0.0002	0.0006	0.00257063
0	0	0.0002	0.0002	0.0002	0.0002	0.00257063
2	0	0.0002	0.0006	0.0003	0.0006	0.00210696
0	0	0.0004	0.0006	0.0004	0.0006	0.00257063
2	0	0.0002	0.0002	0.0003	0.0002	0.00210696
0	0	0.0006	0.0006	0.0006	0.0006	0.00257063
0	0	0.0006	0	0.0006	0	0.00257063
0	0	0.0004	0.0002	0.0004	0.0002	0.00257063
0	0	0.0004	0	0.0004	0	0.00257063
1	1	0.0002	0.0006	0.00025	0.00065	0.00246643
2	0	0.0004	0.0006	0.0005	0.0006	0.00210696
1	1	0.0002	0.0002	0.00025	0.00025	0.00246643
2	0	0.0006	0	0.0007	0	0.00210696
2	0	0.0004	0	0.0005	0	0.00210696
3	1	0.0002	0.0006	0.00035	0.00065	0.00237539
2	0	0.0006	0.0006	0.0007	0.0006	0.00210696
2	0	0.0004	0.0002	0.0005	0.0002	0.00210696
3	1	0.0002	0.0002	0.00035	0.00025	0.00237539
0	0	0.0006	0.0004	0.0006	0.0004	0.00257063
1	1	0.0004	0.0006	0.00045	0.00065	0.00246643
1	1	0.0006	0	0.00065	5e-05	0.00246643
1	1	0.0004	0	0.00045	5e-05	0.00246643
0	0	0.0006	0.0002	0.0006	0.0002	0.00257063
0	0	0.0004	0.0004	0.0004	0.0004	0.00257063
1	1	0.0004	0.0002	0.00045	0.00025	0.00246643
0	2	0.0002	0.0006	0.0002	0.0007	0.00284397
1	1	0.0006	0.0006	0.00065	0.00065	0.00246643
3	1	0.0004	0.0006	0.00055	0.00065	0.00237539
0	2	0.0002	0.0002	0.0002	0.0003	0.00284397
2	0	0.0006	0.0004	0.0007	0.0004	0.00210696
3	1	0.0006	0	0.00075	5e-05	0.00237539
3	1	0.0004	0	0.00055	5e-05	0.00237539
3	1	0.0004	0.0002	0.00055	0.00025	0.00237539
2	2	0.0002	0.0006	0.0003	0.0007	0.00224713
2	0	0.0006	0.0002	0.0007	0.0002	0.00210696
3	1	0.0006	0.0006	0.00075	0.00065	0.00237539
2	0	0.0004	0.0004	0.0005	0.0004	0.00210696
0	2	0.0004	0.0006	0.0004	0.0007	0.00284397
0	0	0.0002	0	0.0002	0	0.00257063
2	2	0.0002	0.0002	0.0003	0.0003	0.00224713
0	0	0.0002	0.0004	0.0002	0.0004	0.00257063
1	1	0.0006	0.0004	0.00065	0.00045	0.00246643
0	2	0.0006	0	0.0006	0.0001	0.00284397
0	0	0	0.0004	0	0.0004	0.00257063
0	0	0	0.0002	0	0.0002	0.00257063
0	2	0.0004	0	0.0004	0.0001	0.00284397
0	0	0	0.0006	0	0.0006	0.00257063
0	0	0	0	0	0	0.00257063
1	3	0.0002	0.0006	0.00025	0.00075	0.00248019
1	1	0.0006	0.0002	0.00065	0.00025	0.00246643
1	1	0.0004	0.0004	0.00045	0.00045	0.00246643
0	2	0.0004	0.0002	0.0004	0.0003	0.00284397
1	3	0.0002	0.0002	0.00025	0.00035	0.00248019
0	2	0.0006	0.0006	0.0006	0.0007	0.00284397
2	2	0.0004	0.0006	0.0005	0.0007	0.00224713
2	0	0.0002	0.0004	0.0003	0.0004	0.00210696
2	0	0.0002	0	0.0003	0	0.00210696
3	1	0.0006	0.0004	0.00075	0.00045	0.00237539
2	2	0.0006	0	0.0007	0.0001	0.00224713
2	0	0	0.0006	0.0001	0.0006	0.00210696
2	0	0	0.0004	0.0001	0.0004	0.00210696
2	0	0	0.0002	0.0001	0.0002	0.00210696
2	0	0	0	0.0001	0	0.00210696
2	2	0.0004	0	0.0005	0.0001	0.00224713
3	1	0.0006	0.0002	0.00075	0.00025	0.00237539
2	2	0.0004	0.0002	0.0005	0.0003	0.00224713
3	1	0.0004	0.0004	0.00055	0.00045	0.00237539
3	3	0.0002	0.0006	0.00035	0.00075	0.00219375
1	1	0	0.0006	5e-05	0.00065	0.00246643
1	3	0.0004	0.0006	0.00045	0.00075	0.00248019
1	1	0.0002	0	0.00025	5e-05	0.00246643
3	3	0.0002	0.0002	0.00035	0.00035	0.00219375
1	1	0.0002	0.0004	0.00025	0.00045	0.00246643
2	2	0.0006	0.0006	0.0007	0.0007	0.00224713
0	2	0.0006	0.0004	0.0006	0.0005	0.00284397
1	1	0	0.0002	5e-05	0.00025	0.00246643
1	1	0	0.0004	5e-05	0.00045	0.00246643
1	1	0	0	5e-05	5e-05	0.00246643
1	3	0.0006	0	0.00065	0.00015	0.00248019
0	2	0.0006	0.0002	0.0006	0.0003	0.00284397
1	3	0.0004	0	0.00045	0.00015	0.00248019
1	3	0.0004	0.0002	0.00045	0.00035	0.00248019
0	2	0.0004	0.0004	0.0004	0.0005	0.00284397
3	1	0	0.0006	0.00015	0.00065	0.00237539
3	3	0.0004	0.0006	0.00055	0.00075	0.00219375
3	1	0.0002	0	0.00035	5e-05	0.00237539
3	1	0.0002	0.0004	0.00035	0.00045	0.00237539
1	3	0.0006	0.0006	0.00065	0.00075	0.00248019
2	2	0.0006	0.0004	0.0007	0.0005	0.00224713
3	1	0	0	0.00015	5e-05	0.00237539
3	1	0	0.0004	0.00015	0.00045	0.00237539
